Account,Category,Parent,Type,FY 20-21 Actual,FY 20-21 Budget,FY 21-22 Actual,FY 21-22 Budget,FY 22-23 Actual,FY 22-23 Budget,FY 23-24 Actual,FY 23-24 Budget,FY 24-25 Actual,FY 24-25 Budget,FY 25-26 Actual,FY 25-26 Budget,FY 26-27 Actual,FY 26-27 Budget
7310,Annual Meeting,7300,Operating Expense,318.70,400.00,599.13,500.00,742.32,600.00,694.94,700.00,958.24,700.00,0.00,800.00,0.00,800.00
7330,Special Events,7300,Operating Expense,1881.78,600.00,677.33,1200.00,1701.56,1500.00,2667.46,1500.00,1169.08,1500.00,259.85,1500.00,0.00,1500.00
7410,Professional Services,7400,Operating Expense,5703.71,2000.00,3685.16,2500.00,5670.00,5000.00,6162.72,8500.00,4510.64,2200.00,0.00,0.00,0.00,0.00
7415,Legal,7400,Operating Expense,,,,,,,,,4233.00,4800.00,2450.00,5500.00,0.00,5500.00
7420,Administrative,7400,Operating Expense,4519.12,1000.00,2541.50,2400.00,1003.12,800.00,1924.33,1000.00,1326.94,1500.00,0.00,500.00,0.00,500.00
7425,Safety,7400,Operating Expense,,,,,,,1719.40,3000.00,298.38,0.00,292.09,0.00,0.00,0.00
7430,Discretionary Payments / Bonus,7400,Operating Expense,,,,,1000.00,1000.00,1000.00,0.00,1000.00,1000.00,0.00,1000.00,0.00,1000.00
7445,AED Renewal Fees,7400,Operating Expense,,,,,0.00,600.00,0.00,720.00,608.56,720.00,0.00,500.00,0.00,500.00
7700,Note Interest Expense,,Operating Expense,662.47,1850.00,642.50,800.00,0.00,0.00,13966.12,0.00,14873.17,14873.22,,,,
7715,Dam Maintenance,7900,Operating Expense,,,,,854.78,6000.00,1186.53,5000.00,1629.40,4500.00,0.00,4000.00,0.00,4000.00
7760,Dam Payroll - Wages,7900,Operating Expense,,,,,1007.00,2000.00,1431.00,3000.00,148.17,2750.00,0.00,2000.00,0.00,2000.00
7765,Dam Payroll - Taxes,7900,Operating Expense,,,,,92.93,180.00,84.58,229.50,14.11,210.38,0.00,173.00,0.00,173.00
7968,Dam Mileage,7900,Operating Expense,,,,,,,240.76,0.00,,,,,,
7970,Dam Payroll Expense,7900,Operating Expense,,,,,,,0.00,60.00,,,,,,
7915,Dam Maintenance (FY20-21),7900,Operating Expense,1069.26,3500.00,2713.78,4800.00,,,,,,,,,,
8002,Water Task Force - Well Drilling,8000,Non-operating Expense,0.00,119000.00,0.00,138000.00,15441.00,32000.00,0.00,40000.00,8103.02,40000.00,,,,
8003,Water - Tank Exterior Paint,8000,Non-operating Expense,0.00,30000.00,0.00,32000.00,19500.00,32000.00,0.00,33000.00,,,,,,
8005,Fire Hydrant Replacement,8000,Non-operating Expense,0.00,6000.00,0.00,6000.00,5013.00,6000.00,5201.38,6000.00,0.00,6000.00,,,,
8006,Culvert Replacement,8000,Non-operating Expense,,,,,,,,,14778.09,0.00,,,,
8010,Ranch House Capital Projects,8000,Non-operating Expense,,,,,8579.00,3500.00,,,0.00,5000.00,26016.58,26016.58,0.00,0.00
8011,SCADA Upgrade 2 Water Tanks,8000,Non-operating Expense,,,,,31939.00,30000.00,,,,,,,,
8012,SCADA PC System,8000,Non-operating Expense,,,,,13429.00,15000.00,,,,,,,,
8013,Log Entrance Replacement,8000,Non-operating Expense,,,,,,,974.67,5000.00,9021.43,5000.00,4232.13,0.00,0.00,0.00
8014,Ranch House Attic Insulation,8000,Non-operating Expense,,,,,7239.00,0.00,,,,,,,,
8015,Ranch House Well,8000,Non-operating Expense,,,,,6080.00,0.00,,,,,,,,
8016,Ranch House Roof Repair,8000,Non-operating Expense,,,,,,,8946.00,5000.00,,,,,,
8018,New Mixers (2 Water Tanks),8000,Non-operating Expense,,,,,,,38855.59,37000.00,,,,,,
8019,Upper Water Tank Access Road,8000,Non-operating Expense,,,,,,,3930.00,5000.00,26508.36,0.00,,,,
8020,Falls Creek Main Chip Seal,8000,Non-operating Expense,,,,,,,268266.00,0.00,,,5000.00,0.00,0.00,0.00
8020.1,Proceeds of Road Notes (offset),8000,Non-operating Expense,,,,,,,-250000.00,0.00,,,,,,
8021,Storage Zircon,8000,Non-operating Expense,,,,,,,6263.38,7500.00,,,,,,
8022,Well #2 Repair,8000,Non-operating Expense,,,,,,,17560.91,0.00,,,,,,
8023,Kubota Tractor,8000,Non-operating Expense,,,,,,,44790.00,0.00,,,,,,
8023.1,Proceeds of Kubota Grant (offset),8000,Non-operating Expense,,,,,,,-34190.00,0.00,,,,,,
8024,Kubota Tractor Attachments,8000,Non-operating Expense,,,,,,,19590.00,0.00,,,,,,
8025,Wells 3 & 4 Pump & Motor,8000,Non-operating Expense,,,,,,,12409.38,0.00,,,,,,
8104,Meter Reader Replacement,8000,Non-operating Expense,,,,,,,,,28995.43,0.00,,,,
8126,Water Tank Inspections,8000,Non-operating Expense,,,,,,,,,6294.00,0.00,,,,
8100,Depreciation Expense,,,57492.96,0.00,57453.00,57492.96,65077.00,50622.00,,,,,,,,
GRANT_FIRE,Fire Mitigation Grant Income (P&L),,Operating Income,4451.05,,0.00,,47012.33,,95693.36,,77628.36,,2724.25,60000.00,0.00,60000.00
WATER_BASE,Water Base Fee Income (P&L),,Operating Income,51739.84,,60600.00,,60600.00,,60600.00,,121200.00,,80733.33,121200.00,0.00,121200.00
WATER_USAGE,Water Usage Charge Income (P&L),,Operating Income,49894.80,,28108.36,,43555.46,,22420.36,,16366.46,,18288.81,20000.00,0.00,20000.00
CONVENIENCE,Convenience Fee,,Operating Income,,,,,,,,,,,542.74,0.00,0.00,0.00
6800A,Fire Mitigation - Other,6800,Operating Expense,,,,,,,,,,,1575.00,0.00,0.00,0.00
7000A,Common Property - Other,7000,Operating Expense,,,,,,,,,,,416.34,0.00,0.00,0.00
6390,Equipment Shed Other,6300,Operating Expense,,,,,,,,,,,27.81,0.00,0.00,0.00
6785,Security Gate,6700,Operating Expense,,,,,,,,,,,102.01,0.00,0.00,0.00
6846,Fire Mitigation Fuel,6800,Operating Expense,,,,,,,,,,,721.77,4500.00,0.00,4500.00
8027,Equipment Shed Roof Add-on & Repair,8000,Non-operating Expense,,,,,,,,,,,0.00,5000.00,0.00,5000.00
8028,Kubota Tractor Repairs & Tires,8000,Non-operating Expense,,,,,,,,,,,0.00,13000.00,0.00,0.00
8029,Grader Major Repairs,8000,Non-operating Expense,,,,,,,,,,,17617.95,0.00,0.00,0.00
